tag,dataset,seed,mode,placement,gens,pop,wall_ms,placed,total,n_sheets,fitness,bbox_width,util_strip,util_sheet,overlap_area
q5-comp4,rects,37,1,1,999,30,10037.0,28,28,1,1986158.390886,1206.891,0.90912,0.54860,0.000000
q5-comp4,rects,47,1,1,999,30,10026.0,28,28,1,1986181.077103,1220.398,0.89906,0.54860,0.000000
q5-comp4,concave,7,1,1,999,30,10040.3,45,45,1,1986809.027597,1520.307,0.67521,0.51326,0.000000
q5-comp4,concave,17,1,1,999,30,10056.4,45,45,1,1986758.689930,1495.912,0.68622,0.51326,0.000000
q5-comp4,concave,27,1,1,999,30,10079.3,45,45,1,1986779.863821,1511.459,0.67916,0.51326,0.000000
q5-comp4,concave,37,1,1,999,30,10041.1,45,45,1,1986787.740408,1514.796,0.67767,0.51326,0.000000
q5-comp4,concave,47,1,1,999,30,10126.6,45,45,1,1986765.969009,1503.904,0.68257,0.51326,0.000000
q5b-comp0,concave,57,1,1,999,30,10042.9,45,45,1,1986925.060365,1497.504,0.68549,0.51326,0.000000
q5b-comp0,concave,67,1,1,999,30,10035.1,45,45,1,1986920.261680,1512.923,0.67850,0.51326,0.000000
q5b-comp0,concave,77,1,1,999,30,10017.3,45,45,1,1986930.965701,1500.786,0.68399,0.51326,0.000000
q5b-comp0,concave,87,1,1,999,30,10012.7,45,45,1,1986887.900867,1517.674,0.67638,0.51326,0.000000
q5b-comp0,concave,97,1,1,999,30,10050.5,45,45,1,1986926.490125,1532.169,0.66998,0.51326,0.000000
q5b-comp2,concave,57,1,1,999,30,10027.0,45,45,1,1986797.490540,1520.927,0.67493,0.51326,0.000000
q5b-comp2,concave,67,1,1,999,30,10076.8,45,45,1,1986788.966702,1521.353,0.67475,0.51326,0.000000
q5b-comp2,concave,77,1,1,999,30,10105.3,45,45,1,1986837.473954,1535.527,0.66852,0.51326,0.000000
q5b-comp2,concave,87,1,1,999,30,10080.4,45,45,1,1986777.719016,1512.733,0.67859,0.51326,0.000000
q5b-comp2,concave,97,1,1,999,30,10059.1,45,45,1,1986796.110272,1518.751,0.67590,0.51326,0.000000
q5b-comp4,concave,57,1,1,999,30,10107.6,45,45,1,1986769.755726,1505.409,0.68189,0.51326,0.000000
q5b-comp4,concave,67,1,1,999,30,10029.4,45,45,1,1986806.825061,1524.644,0.67329,0.51326,0.000000
q5b-comp4,concave,77,1,1,999,30,10030.2,45,45,1,1986761.777170,1500.361,0.68419,0.51326,0.000000
